PlatformID,DateTimeNZST,Load
CAW-2022017-IOT,13/06/2022 08:03:27:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:28:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:29:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:30:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:31:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:32:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:33:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:34:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:35:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:36:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:37:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:38:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:39:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:40:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:41:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:42:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:43:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:44:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:45:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:46:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:47:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:48:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:49:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:50:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:51:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:52:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:53:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:54:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:55:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:56:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:57:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:58:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:03:59:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:00:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:01:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:02:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:03:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:04:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:05:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:06:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:07:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:08:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:09:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:10:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:11:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:12:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:13:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:14:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:15:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:16:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:17:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:18:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:19:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:20:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:21:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:22:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:23:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:24:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:25:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:26:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:27:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:28:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:29:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:30:000,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:31:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:32:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:33:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:34:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:35:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:36:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:37:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:38:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:39:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:40:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:41:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:42:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:43:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:44:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:45:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:46:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:47:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:48:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:49:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:50:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:51:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:52:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:53:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:54:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:55:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:56:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:57:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:58:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:04:59:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:00:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:01:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:02:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:03:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:04:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:05:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:06:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:07:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:08:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:09:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:10:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:11:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:12:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:13:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:14:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:15:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:16:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:17:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:18:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:19:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:20:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:21:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:22:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:23:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:24:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:25:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:26:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:27:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:28:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:29:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:30:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:31:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:32:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:33:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:34:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:35:001,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:36:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:37:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:38:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:39:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:40:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:41:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:42:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:43:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:44:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:45:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:46:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:47:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:48:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:49:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:50:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:51:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:52:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:53:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:54:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:55:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:56:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:57:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:58:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:05:59:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:00:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:01:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:02:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:03:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:04:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:05:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:06:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:07:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:08:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:09:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:10:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:11:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:12:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:13:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:14:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:15:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:16:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:17:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:18:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:19:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:20:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:21:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:22:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:23:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:24:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:25:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:26:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:27:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:28:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:29:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:30:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:31:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:32:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:33:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:34:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:35:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:36:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:37:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:38:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:39:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:40:002,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:41:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:42:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:43:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:44:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:45:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:46:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:47:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:48:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:49:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:50:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:51:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:52:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:53:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:54:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:55:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:56:003,-000000.00
